stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,6755.93
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,12158.29
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,21052.53
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,37742.35
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,57804.52
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,82471.16
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,116720.85
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,131990.09
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,141837.54
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147344.60
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,149839.47
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.98
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,5.94
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.69
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,25.99
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,52.27
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,94.28
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,206.53
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,407.48
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,29.65
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,59.37
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,118.92
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,237.59
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,476.13
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,922.80
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,1833.46
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,3422.15
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,6635.94
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,12108.79
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,21031.01
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,37665.85
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,57719.84
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,81922.51
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,116281.41
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,131609.33
